comments,year,month,day
4) Add Lexus anywhere you want,2022,3,23
VW gets separate forums by marque and sub forums by model. The same should apply for Stellantis. Anything else is complicated and confusing and implies too much background knowledge for simpletons like me,2022,3,24
"Most regular car buyers - and let’s hope regular car buyers adopt EVs as quickly as possible - have no idea what Stelantis is, or care a jot. Please make the forum as accessible and welcoming as possible and avoid any approach which requires an explainer. Brand, model, alphabetical and comprehensive. Maybe with a “see also Vauxhall Corsa” at the top of the Peugeot 208 sub for example to make it easy to cross refer?",2022,3,24
"Should there be one called ""The bloody app""? 
 
MyPeugeot with you every day - completely fecking useless but, still, it's with you every day.",2022,3,25
Shouldn’t it just be Stellantis rather than being preceded by “Groupe” as it’s not a French company as far as I know. I believe it’s registered in the Netherlands.,2022,3,25
"Well, I appear to have just broken down. STOP Electric Failure DANGER displays on the dash. Anyone had this before?",2016,5,20
"Update: 
 
Dealership just called me. Rep told me she's just had a look at my car and she's charging beautifully and I should be able to collect her later. Hang on, I asked, what repair works has been done? What was the fault, what caused it, and how has it been fixed? She said she didn't know, but she'd get the expert technician to call me. I really hope they've not just cleared the fault logs and are sending me on my way. It's not fixing the fault. I also told her, the fault didn't happen when charging - I don't have a charging problem. Why is the fact that she's charging now indicative of the fault being fixed? Waiting for the call from the expert technician..",2016,5,27
"Expert technician called me. It's basically as I feared. Plug it in, clear the faults, car runs. He was nice enough, explaining to me basically that's how Renault works. If the fault reoccurs, they can apparently cross reference any new fault logs with the previous ones and try and diagnose from there. I'm disappointed as I hoped it would be more a case of plug it in, see the fault code, fix the fault. Anyway, the car's on test until Tuesday (after bank hol) and I'll collect her then.",2016,5,27
"I've had the same issue  , Went to drive the car yesterday and instantly had this problem. I charged my 12V Battery and the fault did disappear but after about 2 minutes it came came back. 
 
Renault sorted me a courtesy car and towed mine to Renault Cardiff, Fingers crossed I get a decent service but I wont hold my breath. Out of curiosity after Renault cleared your fault did it come back? as it's been just over a week lol.",2016,6,5
"Just had a call today at around 3, the technician has put it down to a faulty ac /dc converter. Ive asked what the estimated wait for the repair was and was advised they dont know how long it will take for the part to arrive and its two days after that . They will continue to give me a courtesy car with enterprise until fixed and renault customer services confirmed they will pay my fuel ""within reason"". Not sure what to say really... fingers crossed this part doesnt take to long. One thing I do wonder is my zoe is an R240 motor and am led to beleive the motor and ac converter are one unit?",2016,6,7
"AFAIK it is one ""unit"". Those modules (charger, inverter, etc) are behind that big, flat plate on the side of the motor and I am pretty sure they are not ""line replaceable"". But I not 100% sure. 
 
In this image he's talking about #2 I suppose",2016,6,7
"Thanks for the info mate, Most likely not much of a complicated part just ashame renault put it incased in the motor, explains why its going to take them two days from receiving lol. god knows how much it would cost out of warranty mind i would hate to imagine.",2016,6,7
"Indeed. Some of the Q210s had a problem with a bad bearing. First replacements were ALL: Motor, drivetrain, PEB, BCB. Later, as I understand it, they made replacement kits with new bearings, proper procedure etc. Those first few (mine was in that batch) were costly repairs, several K's for sure, though on the other hand, it would be reasonable to put those units back in spare supply stock after bearing replacements. I don't want to think about the costs indeed had it been out the, IMHO, generous 5 year warranty on the drivetrain. Job was outstanding BTW. 
 
More pics through this link (SSP alert!)  The R240 motor factory",2016,6,7
"Sorry for not updating the thread until now. 
 
I got my Zoe back last Wednesday. She was in the dealership for 11 days altogether. When I collected her the service manager told me there's been no repair done as there is no fault. They plugged her in, cleared the long list of errors because, in their own words, the errors don't show them what caused the car to break down anyway, and unplugged. 
 
The error, according to the service manager, was probably due to a ""spike"" caused by (wait for it) ""an electrical pylon overhead"". !!! Being as the car broke down on a small country road in rural Yorkshire, with a total of zero overhead pylons in sight, I'm satisfied that, once again, this is evidence of the dealership playing pin the tail on the donkey and not really knowing what caused the error at all. 
 
Most worrying, perhaps, is that the service manager told me that Renault had told him that the car is not faulty. This, as the car told me ""STOP - Electrical Failure - DANGER"". But, Renault and the dealership say it's not faulty. There's no failure. There's no danger. So I guess it's designed to behave like this then. 
 
I'm now driving Zoe around normally awaiting for the fault to appear again. Never buying another Renault. Such a shame.",2016,6,10
"Once is unfortunate, twice is a coincidence, three times is a pattern. 
 
It might never happen again, drive and enjoy. 
 
If it happens again then I'd say you've got a fault.",2016,6,10
"I still say it is probably all just over sensitivity to impedance to ground. When testing my guess is they didn't take into account the humid soggy atmosphere of Britain. Too much testing around the Mediterranean, my guess!",2016,6,11
"That price point is ridiculous. Having said that I believe it's slightly less simple as depicted by  @donald  though. When a batch of Q210 bearings turned out bad, the remedy was at first: 
- check transmission oil for metal filing; 
- if present, replace entire motor / reduction gear / differential. 
It was a rather major job and of course the ""part"" involved was very costly. Drivers (rightfully) checked their cars a bit more and I am pretty sure the fora helped raise awareness. On the other side of the coin: Renault didn't hesitate to take on the issue head on and lived up fully to the 5 year drive train warranty without moaning. 
 
After a while (I have been told), Renault came with a fix package. New bearings and an approved replacement procedure, probably at a price point of less than 10% of the motor replacement procedure. Any car mechanic worth his salt can replace a bearing. 
 
What I am saying is: repair procedures are not static and evolve too.",2016,6,12
"4000 pounds? Wow, no wonder they don´t want to replace it unless they really have to.",2016,6,12
"@yoh-there  tell me more about this bearing failure, how did it manifest itself when driving?",2016,6,12
"@Sandy  Noticeable ""grinding"" noise outside when driving, also at low speed. Best way to notice was (of course) with the window open and driving along something hard, reflective. The hard give-away turned out to be the noise was absent when driving the same speed in reverse. 
 
Edit: When the motor was replaced, the car made a slightly different sound. Most noticeable is a soft whine or maybe a better word is whistle when regenerating that wasn't there before the repair. At least one other driver said the same after motor replacement. 
 
 @Ready to charge  : I didn't notice even a grain of reluctancy in  @seb chucas  's posts. I did read it is taking a bloody while to get that motor to his dealer.",2016,6,12
"Hmm,I've heard a groaning sound from mine, but only when it's wet and I pull away too fast, probably just traction control going bonkers to reduce power (although I've noticed traction light doesn't come on then, and when I do get traction light I can feel the traction doing its thing and it's different).  
 
I might grill my friendly Chief Mechanic next time I see him.",2016,6,12
"It was a batch of cars. Given your mileage I am pretty sure yours is not affected. The noise was continuous, in any weather",2016,6,13
"My ZOE seems to be getting noisier. I only hear the noise when pressing the accelerator (even only slightly), and it's more noticeable with the window open. It's an October '13 model.",2016,6,13
"@andyfras  sounds more like it. It should be VERY noticeable outside (window open). Inside, hardly. The noise is like pouring sugar in a bowl. Hard to describe a noise. Some folks recorded it with their phones while driving, but it wasn't even close to the real thing, so I am not bothering finding those in other fora. My advice: Find a place where you can experiment reversing. If the sound is like I describe, and if it's gone in reverse, you better have your dealer check for metal shavings in the transmission oil. Mine is a Q210 build in September 2013.",2016,6,13
Is that consistent with there being no noise when my foot is off the accelerator? (Sorry for hijacking thread).,2016,6,13
"@andyfras  I can't remember. Logic dictates it is though, forces reversed.",2016,6,13
Thanks. I just assumed It needed to be arnold clark so that's good to know.,2016,6,20
Whenever you get a problem on a new car that won't go away it's always worth trying a different dealer. They may just do something differently that finds them the fault either by accident or on purpose.,2016,6,20
"My last car was a Fiat, bought from Arnold Clark, never had so much bother with a car as when I had to deal with Arnold Clark. Once the warranty was up I took car to an small local independant and bought software to check my cars computers myself. Car was with me 11 years, and is still on the road now, a brilliant car but the experience was almost ruined because of the dealer. I will never use an Arnold Clark dealer again, I was in a large community of unfortunates that bought from Arnold Clark until Arnold Clark had the site shut down ( ArnoldClarksucks.com, was full of horror stories). 
 
Next time you deal with Renault ask them if another dealer can look at it because you've lost confidence in Arnold Clarks ability to resolve the issue and suggest you've heard Parks in Dunfermline have the technical expertise. Whats the worst that can happen? They may say No and your no worse off for asking.",2016,6,20
"Fortunately my prior dealings with arnold clark haven't been so negative. Since its within the interests of stirling arnold clark to find a solution they, as have I, have been in touch with renault uk. The case in now with renault uk and the car has been seen by a number of techs under the advisement of senior techs at renault uk. My experience is that renault uk have been extremely difficult to deal with. RCI on the other hand are much more tightly regulated so hopefully they will provide a additional clout. If not, it's going to have to be additional corrispondence with all the relevant trade regulating bodies. Thanks for the advice though. It so happens that I am beyond that stage but others might not be.",2016,6,20
"It makes sense that you can now reject the car. 
 
A car that needs no repair but cannot be driven ..... 'not fit for purpose' springs to mind!",2016,6,28
Sorry to see you go  . All the best with the process and your next car.,2016,6,28
Thanks everyone. I'm not going anywhere though - I still have a Leaf and I don't want a refund / PCP cancellation of my current Zoe - I want a replacement. I like the Zoe. I prefer driving it to the Leaf. It's lighter and the range is better. I just need one that isn't faulty!,2016,6,28
"For what it is worth (probably not much: different country, different dealer, different culture, sample size of one); my experience though formally you are in a transaction with a dealer, it's so often that they let you down when things turn south. The (few) dealings I have had with Renault itself, read the Dutch representation, is that as long as you deal with them in a professional way and not having a ""demanding"" attitude and/or a piss over every tiny detail, they are extremely helpful and prepared to go the extra mile. There are forum members here that would almost certainly disagree with a passion. 
 
But let me just give an example: A Dutch forum member decided to drive all the way up to Geiranger Norway (2000+ miles) to join a huge EV event. He missed a crucial charger for his trip in rural Norway and unfortunately the road had a barrier in the middle and there was no way he could make a U turn for (from memory) 10 miles or more. Long story short, he found himself stranded, called Renault in the Netherlands, saying he got battery-empty stranded. ""Where are you now sir?"". ""In Norway"". ""Erm..... Norway you say? Erm, you know what, we'll call you back in a few"". And surely enough he was flatbedded to the nearest (no so near) charger pretty soon, was not ""thrown over the wall"" to the Norwegians to deal with this. Is it included in your contract? Sure. Can you expect to be assisted like this? Sure. Does it usually work this way with big companies? Your choice. 
 
Again, good luck with your dealings. 
 
PS: thanks for the first hand comparison. Most of us, including myself most probably, are in different levels of confirmation bias.",2016,6,28
"After almost 4 months of being passed from pillar to post and 2 years of yes we've fixed the problem to oh, it's not fixed, just a wee glitch - it's fixed now. It's broken again I'm afraid and thus I would like to exercise my consumer rights. To what problem the car is fault free, you can bet that I have been less than impressed with renault customer service. That's not to say that the next person will have the same experience. 
 
My first case manager at CS escalated my problem to a senior case manage after about 2 months. After around a month of trying to make contact with the senior case manager via email and telephone I eventually spoke so someone told me that person had left the company. My case was given back to the original case manager. I wrote a letter stating that I wish to exercise my consumer rights by retuning the car for a replacement or refund and I'd be happy to accept either. I stated sections of the consumer rights act 2015 which clearly outlines I have up to 5 years to return and 6 months to reject. They wrote back to say I cannot reject the car as I've has the car for more than 6 months. They totally ignored my right to return and did not respond when I highlighted this. 
 
I wrote another letter to the dealer as my contract is with them. They have Been engaged in testing the car on different chargers and have found the fault I often receive, they are investigating if further for a report. It was not easy to get them to do this. Obviously this report will need to be analysed by all parties. The garage is still in contact with CS but they still won't respond to me. 
 
I contacted RCI to inform them of the negative impact all this has been having on my life and the financial loss I have incurred as result of purchasing this car over and above repayments. I again stated my consumer rights. This was about 3 weeks ago. I received a letter to say that the have opened a case for me and they will be investigating it further with the dealer and CS. I called last week to recieve an up date, the person who was assinged to deal with with my case was off unwell (these things happen) and they couldn't tell me much more. So I'm still patiently waiting. I truly don't think I'm being the unreasonable one here but maybe they see things differently. I'm hopping to hear more over the next couple of weeks. 
 
Kotek I understand that demanding, depending how it's done, can rub people up the wrong way but you need to be firm and have a strong stomach in my experience. They will (only in my experience) try to fob you off - damage limitation. It's just realistic from a business point of view that they do this but there has to be a tipping point - I'm still engaged in finding it.",2016,6,28
"I agree, Renault Customer Relations seem to be very good. I've just come off the phone with a rep, who called me to enquire as to the current situation. I told him that my Zoe was flatbedded to the supply dealership this morning, that I sent the New Car Sales Manager an email informing him that I intend to reject the vehicle and so please can he order me a brand new replacement, and that I am now in a hire car from Enterprise (Fiat 500, could be worse - and it's brand new with 2 miles on the clock). 
 
The Renault rep advised me that he will contact the dealership and arrange for me to have a meeting with the sales manager so we can discuss the options of my rejection of the Zoe.",2016,6,28
"It's good to know that there are some case handlers who are willing to be more helpful and offer I higher standard of customer service. Perhaps rejecting is easier than retuning. All the best going forward kotek. Myself, buzzar, eunicholas and others had a more drawn out experience but that doesn't mean that you will.",2016,6,28
@Kotek Besar  Have you contacted Citizens Advice?,2016,6,28
My car is still in Renault being repaired! lol,2016,6,28
"Big up to Arnold Clark Stiring. I just got off the phone with their service manager who has informed me that during their tests they were able to confirm that they found the fault when attempting to charge on 4 different rapid chargers. They were able to test the chargers as they had the equipment to do so with them. According to their findings the chargers were not at fault. They have put together a detailed report to put to renault technical who had previously said there didn't appear to be a fault with the car and blamed the chargers without testing them. Now renault technical won't accept the case from stirling because they are not an ev dealer. However they had a specalist carry out the tests and write the report to deliver to renault bishopbriggs who said there was no fault on the advice of renault technical. Bishopbriggs is an ev dealer so they need to raise the case with renault technical who will liase with (as they did previously) renault customer services. The report has also been sent to RCI. 
 
This is not my thread but I just wanted to point out that the dealer in this case has been most helpful. That being said it's important to log everything with all other parties as the dealer needs their help going forward if any replacement or refund is to be granted. Renault supplied the faulty product after all. 
 
Renault UK seem to make returning a faulty product a difficult process for the consumer. That being said I'd like to say that despite my experience to date perhaps I've been a bit unfair to renault CS department. Actually it seems the problem transcends them.",2016,6,28
"I'd be truly and honestly interested in the report. Before anyone thinks differently: to learn from it. As I've said in other threads, things can break in mysterious and unseen-before ways.",2016,6,28
Still in Renault no phone call as promised lol. the service has been abismal to say the least.,2016,6,29
"Never rely on a garage, dealer or manufacturer to phone you back. If they say they'll phone by wednesday, give them until the next day and then phone them. Or if they say by 3pm give them until 4pm and chase them.",2016,6,30
"Update: 
 
Zoe currently on her second visit the the supplying dealership for the STOP Electric Failure DANGER error. This visit is 9 days in, technicians still can't find the cause of the problem. Renault UK are aware of my intention to reject the vehicle, being as it presented as faulty within 6 months of delivery and the dealership were unsuccessful in their one attempt to fix the car that legislation mandates that I give them. Renault UK have spoken to the Sales Manager at the dealership and instructed him to set up a meeting with me so that he can present me with my ""options"" regarding the rejection. That meeting is to be today at 10:30. I'll let you know how it goes.",2016,7,7
Update: I postponed meeting until Tuesday 12th July due to my having to be elsewhere (dealership about 30 miles away from me).,2016,7,10
Take a witness ,2016,7,10
if you got a smart phone asked them if it's OK to record the meeting.,2016,7,10
Hi kotek. Did you have a favourable meeting? Are you any further forward? If you don't mind me asking :/,2016,7,13
"As it happens, I'm not long home from the dealership, having had the meeting with the sales manager today. 
 
The top and bottom of it is, I've agreed to the option of a replacement vehicle. The sales manager has calculated a figure that he needs from Renault, to make up the difference of what the Zoe is now worth and the deposit needed to start up a new 2 year PCP on a new Zoe at the same monthly payments as I'm on now (£95 batt + £35 car = £130 per month). The sales manager is waiting to hear back from Renault as to whether they are going to foot the bill, or whether they prefer me to simply walk away. 
 
My preference at this time is to change the faulty Zoe for a new one. An hour or so after the meeting my contact at Renault Customer Relations called me to say he's spoken with the sales manager after our meeting and he's aware of all that I wrote above. He will now pass this to his own manager to make a decision. I'm waiting to hear the outcome.",2016,7,13
"I can't see the financial motivation to pay you to keep you on the same deal you had with them. 
 
If they are not bothered about you as a customer, or bad feedback, then they'll just let you reject. Cheapest option for them. 
 
Paying out to keep you on the same deal is a big expense. 
 
Easiest option for everyone is to let you reject, then offer you a carrot of a good will gesture in a cash lump, so you can't really complain that Renault only did the bare minimum but they did actually recognise the inconvenience.",2016,7,14
"Well, my contact at Renault Customer Relations called me yesterday.  @donald  is correct, Renault have decided it's not worth their while changing the faulty car for a new one. Apparently it would cost them £5250 to bridge the gap between paying off the finance on the faulty Zoe and supplying a new one. Of course, these numbers are just show-and-tell anyway, the fact of the matter is simple - the car is dangerous, not free of defects and therefore not fit for purpose. You would think that a manufacturer as large as Renault would want to swiftly relieve me of the faulty car and swap it for a new one ASAP. But apparently not. 
 
So I sent the dealership a letter confirming my rejection of the faulty vehicle, enclosing with it the spare key and the V5C. I called RCI and they said they won't stop the payments until the dealership have contacted them. I'm not keen on cancelling the Direct Debit, at least for this month, as I don't wish to hurt my credit score. We'll see what the garage say now. 
 
Renault Customer Relations, by the way, cited their reason for not wanting to financially support the replacing of the vehicle as because the fault had not been replicated by the dealership on either of the two occasions the car had been in with them (it's still in with them). Renault suggest I take the car home and wait and see if it happens again. Sorry, I told him, not on your nelly. It's unreliable, unsafe and unfit for purpose. Makes me feel they don't believe me that the fault is present. Thank god I took photos. 
 
I certainly WON'T be buying another Renault again, ever.",2016,7,20
"@Kotek Besar  Sorry to hear that and a strange state of affairs. It's not that you programmed the word ""DANGER"" in the dash message. Good luck with the rest of this disappointing process :-/",2016,7,21
Hi kotek. I'm sorry to hear that. I really hoped that given the nature of your fault and your rejection rights that renault would be more ethically responsible. Of course it doesn't mean it's over but it doesn't need to be so arduous for the consumer either. I totally empathise. Come on renault this really isn't good enough! Let us know how you get on kotek. I'm still battling too. It's no fun!,2016,7,21
"Update: after 7 weeks of the mechanics not being able to find the fault, I sent an email to Renault customer service to ask if I need to also let the dealership that sold me the car have a go at it. There's some kind of rule that says the seller has to be informed of the error within 8 weeks (different country, different rules) and be allowed to try to repair it if you're going to return a product. Didn't get an answer to that, but the next day the dealership called and said that they've found the fault: the onboard charger was damaged. I guess Renault stepped up and finally helped them.  
 
Apparently they were not allowed to do anything with the car without having a Renault technician in France on the phone with them, to avoid injuries from high voltages or some such thing. Which explains the long wait.  
 
Now we're at week 11, it's supposed to be repaired around the end of July.",2016,7,21
Kotek contact trade and standards. They deal with these sorts of things all the time and should be able to give you the most accurate advice and put you in touch with all the relevant trade regulating bodies. The 2015 act gives you stronger rejection rights. In terms of the refund I think it takes in to account acceptable use but the product was faulty so it shouldn't be the second hand value. That's as far as I have been led to believe.,2016,7,21
"Totally agree it's all about interpretation, impact on the consumer and specific circumstances. Its just a shame that huge multinationals force honest consumers to take it that far before they practice ethically responsible trading IMHO. Ive seen this sort of attitude first hand in a pervious profession. I honestly don't mean to offend. I think its just the way the world works with a few exceptions - perhaps I'm cynical. 
 
Totally with badger in black on the replacement. Surely that makes sense all round",2016,7,22
"I believe this an appropriate tale for this thread, and one with (fingers x'd) a happy ending! I have had my Zoe back for 4 weeks now after 3 months in the workshop, have covered 600 miles since and, I'm pleased to say, it seems to be going better than ever. 
 
My Zoe first failed on 1st April. I finally received it back near the end of June. On 2 previous times I received it back I had to return it the same day. (Flatbed). Last time the Service Manager told me it had a string of faults and could be a while. (Electric Motor Failure). I took a hire car this time through Renault Customer Services. 
 
When I picked it up I was told they had replaced 12v battery, Inverter, and Motor. I'm sure other minor parts were changed also, and software updated. 
 
I think I have been very lucky to find a Service Dept who regarded it as a challenge to solve a thorny problem. Its worth noting that as all these vehicles are under warranty, the repairs have to be diagnosed and confirmed by Renault Technical and some dept in Renault is picking up the tab. I know the Motor change was approved during a personal visit by a member of Renault Technical. I'm sure that the quality of staff and knowledge is improving all the time as more training and experience is accruing. 
 
I believe that dealers do not hold spare parts on site and have to acquire these from Renault, who are obviously paying for them at present. Therefore no repair will be quick. (No more 'cleaned the plugs and adjusted the points and it ok now mate'!). In many cases the diagnosis is carried out by Renault Technical and the workshop is then supplied with the part and told how to fit it. 
 
When I bought the Zoe 18 months ago I had a lot of difficulties, and the dealer went through the process of getting a price from Renault etc to buy it back. (A process similar to Kotek's?). I don't know if it was genuine or just a 'blind' but nothing came of it. Remember that Sales sell the car, and the finance, and take your money and pick up the commission. Full Stop, next customer. After that it's down to the Workshop and Renault Customer Services. No dealer wants a 2nd hand Zoe on his books, so they need to get Renault to take it. 
 
I hope this will give encouragement to those on here whose difficulties I have been reading about. You have my sympathies and be assured you are not alone in your struggle against the mighty Renault, and sometimes the result is a good one. These faults occur out of the blue, and its a case of 'there but for the grace of God go I'. As I am constantly told, we are pioneers. 
 
Good luck to us all!",2016,7,24
That surprised me that they say it is not possible as we have done similar things with Santander before (although that time it was because we taxed the wrong car  ).,2016,7,28
"I thought I would check this with my RCI rep, as it didn't sound right, and his answer was 
 
""Yes my belief is that this is possible. You would need to speak to Customer Services and provide them with a ""nil balance invoice"" then we send a modifying agreement to the customer for them to sign and send back. They can be contacted on 0333 009 0230"" 
 
Obviously I didn't mention any names or dealerships and posed it as a hypothetical question.",2016,7,29
"Back from holidays, received a recorded delivery letter from Bristol Street Bradford. The postman forged my signature and popped it through my letterbox. Brilliant. 
 
In the letter, the New Car Sales Manager, who I had sent my rejection letter to, together with the spare key and V5C, says: 
 
 ""I refer to your letter dated 12 July 2016. I am sorry that your vehicle has had an issue requiring repair, and that it has taken 2 visits to our dealership for us to identify and diagnose the fault, which was only occurring very intermittently. 
 
I confirm that we have liaised with the Renault Technical team and propose to replace the PEC (Charger/converter) Unit to resolve the issue. This work would be carried out under warranty with no cost to you . 
 
Your letter states that you wish to reject the vehicle. Unfortunately, you are not entitled to do so. The fault first arose almost 6 months after you purchased the vehicle. Your initial remedy for any fault at this stage is to a repair, which we are proposing to provide, and not to a rejection. It is not unusual for vehicles to develop a fault and this does not provide an automatic right to reject. 
 
Please confirm that we can go ahead and carry out the repair. We will then contact you to collect your vehicle so that you can satisfy yourself that the fault has been resolved.""  
 
Needless to say, I'm thoroughly disgusted by that. Firstly, the sarcastic undertone is stomach-churning. ""Only occurring very intermittently"" - the car broke down and was rendered dangerous and not drivable. This happened twice since I owned the car, the first instance was just before it was six months old and the second instance was four weeks after that. 
 
The law says that if a new car presents a fault within six months of delivery I must allow the dealership one opportunity to repair it. I did that, they failed. The car was with them for 12 days. All they did was clear the error logs, test drive it, then tell me the issue was probably cause by an overhead electricity pylon. An invisible one, since there are none in sight in the place where the car broke down. They returned to me the un-repaired car, which, as stated, re-presented the same fault four weeks later. 
 
It's quite incomprehensible that Bristol Street seems to think The Consumer Rights Act 2015 doesn't apply to them. 
 
The sad thing is, if they'd have diagnosed the fault earlier and offered to replace the PEC (Power Electronic Controller) on the car's first presentation of the fault I would have had to have accepted the repair, which I would have done, without quibble. Rather, I believe Bristol Street didn't take the problem seriously, they failed to diagnose the fault, were more interested in trying to sell me tracking for my six months old tyres (they pushed this at least three times on me) than actually trying to fix the car. 
 
I haven't replied to the letter yet. I called Renault Customer Relations yesterday to speak with my case handler. He was on another call and his colleague said he would ask that he calls me back once he's free. I didn't receive a call back. I'll call him again shortly. The nightmare continues..",2016,8,19
"We have have owned 3 Zoe's to-date (Zoe No 1 was 9th in the UK) and all 3 have had this fault at on time or another and yes this fault is well know in Zoe's just read the forums. 
 
I have experienced this BCI first in May 2013 and on our Zoe-i that needed a new BCU just last month so Renault seem not to be on the ball with this one  
 
Best case scenario is lock the car walk away and BCI will clear after about half an hour. 
Worst case scenario when BCI will not clear Zoe was flat-bedded to Renault ZE Wolverhampton where it had a new BCU (battery charge controller unit) unit fitted and Zoe No 3 was away for a few weeks. 
 
This is our own experience with nothing made up! 
 
Do not charge the 12v battery or mess with any other part of the car as with our Zoe No1 wife and I where blamed for not plugging the charger plug in correctly (I kid you not) then it was the home chargers fault etc etc 
 
Zoe No 3 does seem fine now after its new BCU (at just 520miles) 
 
Zoe is a fantastic EV when running but can be a little flakey at times but stay with your Zoe as it will be repaired eventually but I repeat do not try to fix it yourself and why should you?",2016,8,19
"I have read your post three times. Let me start that I do understand the gist if the Consumer Rights Act, but know nothing of how that works in real life. It seems to apply to a car as well as to a 15 quid water cooker, which can complicate things when it comes to execution. With that said, it seems to me that you are right in the ""de jura"" sense. 
 
I think people should not be shoved around AND if you're on the short end you should act and not whine too much. Vote with your feet. Hats off to you. 
 
However.......... 
 
1. It seems you are furious at the dealer (don't blame you, that entire clear faults, pylon story is ridiculous!!), but (had they fixed it) quite happy with the car. I think it is something to consider: what do you really WANT? Reject the car because you're fed up with the dealer? To make a point? Or because you genuinely lost faith in your ZOE (after PEC replacement *) )? Or would you rather have a nice well behaving ZOE? 
 
2. You seem to be quite disappointed in the dealers reply. With the utmost respect, I think that is slightly naïve. They are just fighting back and like it or not, that is to be expected. 
 
3. I would be extremely careful to fight your fight in this public arena. Sure it can create leverage, but it can also create a ""drop dead you"" attitude. Rest assured that Renault UK and maybe your dealership follows this thread with more than casual interest and as said, the result can work for you or against you. If they will conclude at some moment in time feel there is literally nothing they can do to make you happy, rest assured they will do nothing.",2016,8,19
"Pompous nitpicking: it seems like dealers on your end of the pond make up the names of what they replace. BCU? PEC? Don't exist in the ZOE. If you want to get into a discussion with your chief mechanic: 
 
BCB: Connection box and charger (top metal box on the Q210) 
PEB: Inverter and DC/DC converter (metal box between the BCB and the motor on the Q210) 
LBC: battery management computer (inside the battery pack)",2016,8,19
"Make up names indeed as I have found these so-called experts to be so lacking in knowledge of the very expensive item that they are selling, quit incredible!",2016,8,19
"Perhaps you are right, it is to be expected that the dealership fights back, but in refusing to respect my rights under the law they are, very quickly, making very sure that I will not give them any future business. Often the way a firm handles a complaint has a significant influence on the customer's future buying decisions. 
 
Initially I wanted for the faulty Zoe to be replaced, and the dealership were willing to do this. Then when they asked Renault to support the funding of the replacement and Renault said no, the dealership's willingness to replace the car vanished. Right now, all I want is for my legal rights to be respected. The car presented a dangerous and immobilising fault within six months of purchase, I gave the dealership the opportunity to repair it and, while they kept the car in their possession for 12 days, they failed to repair it, they gave the car back to me and four weeks later the fault returned. 
 
I don't wish to whine, I wish to vote with my feet. I've respected the dealership's legal right to one attempt at repair. All I want now is for the dealership to respect my legal right to reject the car.",2016,8,19
"Spoken to my complaint handler at Renault Customer Relations. Renault are siding the dealership. They say I should allow the repair to proceed. 
 
Does legislation mean nothing in this country anymore? 
 
I also just came off the phone with RCI Finance. As the car is on PCP, and they are still taking my money every month, they have some responsibility. Amazingly, though I've been on and off the phone with them since day one about this issue, they haven't actually logged it as a complaint. Apparently that only happens when I utter the words ""I wish to make an official complaint"", otherwise all they do is log the call but do nothing. It used to be that any expression of customer dissatisfaction was a complaint and should be logged accordingly. Anyway, complaint with RCI now raised..",2016,8,19
"I suggest you go to your local CAB office. However you best check all your dates and receipts for ""work"" done.  
 
My concern would be if the first instance of taking car to dealer if they monitored car and saw no fault exhibited would this count towards the first repair if no repair took place. It's probably a grey minefield.",2016,8,19
"PEC: ""Power Electronic Controller"" 
 
 - Renault UK 
 ""Three in one’: the junction box, the power electronics unit and the Chameleon charger are now in a single unit called the Power Electronic Controller. The unit is 25 per cent smaller as a result.""",2016,8,19
"On the R240 the PEC is now a single unit where on the Q210 the units are separate 
But whatever Renault wish to call it a vital piece of the cars propulsion equipment has failed!",2016,8,19
Our dismal episode with our Zoe No 1 caused us to be with out the car for 3 month in total so we instigated a case with the financial ombudsman and guess what the FO decided in Renaults favour!,2016,8,19
Wow. That's bad. Are you continuing to pay the monthly payments while you're car is off the road five months ( @emc  ) three months ( @Buzzar  ) ?,2016,8,19
We owned Zoe No 1 and leased the battery. For the 3 months without the car we STILL had to pay the battery lease and put petrol in the ICE loaner,2016,8,19
Still paying battery rental and car repayments. Although I do have I courtesy car which the garage are making noise about getting back. I've asked for some assurances in writing before I take the car back. They replaced the BCB unit and have said it's fixed. All due respect - they have told me this before. The intermittent fault which has been present in the car since purchase still remained. All I'm asking is that they admit to me in writing that if I see the fault again within the warrenty period of the part that the most recent attempt to fix the problem has failed and that the underlying intermittent fault the car has shown since purchase still remains. They are so far refusing to do this. In the next breath though they tell me they are confident they have fixed the problem - go figure.,2016,8,19
"So last weekend was the first time I’ve used the rapid charge network in 5 years !!! And I can honestly say it’s as hard if not harder to get anywhere now even though I was using a 24kwh env200 and now I’m on 40kwh one . 
Facts- 
More charge points ( more reliable?? ) 
More Evs  
Scores more dumb uneducated drivers  
Arrived to find both rapids occupied both by drivers charging to 100% and wouldn’t move even though I explained kindly the etiquette. And another 2 the other day that arrived having no idea how to use the chargers and I had to wait for them to install and app , sort account out and basically f about . . Can only think this going to get worse . Now I do t believe people are being ignorant I just think the manufacturers are so keen to throw Evs out and not educating people.",2022,11,3
"The only way you can fix the 100% issue is at the network side. The charger could for instance simply stop once rates dip below a defined point. 
 
Its also much more nuanced than it once was... An older small battery car like a LEAF might struggle to get above 40kw at any point in its charge cycle, and will be tapering from 80% or even before if the battery is hot. An e-tron (or some other large battery car) might on the other hand pull 50kw all the way to 95%.",2022,11,3
